Year,Month_Name,Date,State,Vehicle_Class,Vehicle_Category,Vehicle_Type,EV_Sales_Quantity
2014.0,jan,1/1/2014,Andhra Pradesh,ADAPTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,AGRICULTURAL TRACTOR,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,AMBULANCE,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,ARTICULATED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,CASH VAN,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,CRANE MOUNTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,EDUCATIONAL INSTITUTION BUS,Bus,Institution Bus,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,EXCAVATOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,FORK LIFT,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,HARVESTER,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1.0
2014.0,jan,1/1/2014,Andhra Pradesh,MOTOR CAB,4-Wheelers,4W_Shared,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,MOTOR CAR,4-Wheelers,4W_Personal,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,OMNI BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,PRIVATE SERVICE VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,RECOVERY VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,TRACTOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,TRAILER (AGRICULTURAL),Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,TRAILER (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,TRAILER FOR PERSONAL USE,Others,Others,0.0
2014.0,jan,1/1/2014,Andhra Pradesh,VEHICLE FITTED WITH RIG,Others,Others,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,AGRICULTURAL TRACTOR,Others,Others,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,BUS,Bus,Bus,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,CAMPER VAN / TRAILER,Others,Others,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,CRANE MOUNTED VEHICLE,Others,Others,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,DUMPER,Others,Others,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,EXCAVATOR (COMMERCIAL),Others,Others,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,EXCAVATOR (NT),Others,Others,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,GOODS CARRIER,Others,Others,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,MAXI CAB,Others,Others,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,0.0
2014.0,jan,1/1/2014,Arunachal Pradesh,MOPED,2-Wheelers,2W_Personal,0.0
